datetime,day of week,total,place,product_names,quantities_product,Order status
2023-07-19 13:35:00,Fri,14800.0,Dongmyeon,"['angbutter', 'croissant', 'tiramisu croissant']","[1.0, 1.0, 1.0]",Completed
2023-07-19 13:50:00,Fri,15100.0,Dongmyeon,"['angbutter', 'pain au chocolat']","[2.0, 1.0]",Completed
2023-07-19 14:12:00,Fri,58000.0,Dongmyeon,['croissant'],[16.0],Completed
2023-07-19 15:33:00,Fri,35900.0,Dongmyeon,"['angbutter', 'croissant', 'tiramisu croissant']","[3.0, 3.0, 2.0]",Completed
2023-07-20 11:19:00,Sat,15800.0,Dongmyeon,"['angbutter', 'milk tea', 'orange pound']","[1.0, 1.0, 1.0]",Completed
2023-07-20 11:35:00,Sat,18800.0,Dongmyeon,"['angbutter', 'americano', 'croissant', 'caffe latte']","[1.0, 1.0, 1.0, 1.0]",Completed
2023-07-20 11:40:00,Sat,22800.0,Dongmyeon,"['angbutter', 'jam', 'tiramisu croissant', 'pain au chocolat', 'gateau chocolat', 'tiramisu']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Completed
2023-07-20 11:44:00,Sat,16400.0,Dongmyeon,['angbutter'],[3.0],Completed
2023-07-20 12:08:00,Sat,15800.0,Dongmyeon,"['angbutter', 'pandoro', 'tiramisu']","[1.0, 1.0, 1.0]",Completed
2023-07-20 12:13:00,Sat,26300.0,Dongmyeon,"['angbutter', 'caffe latte', 'pain au chocolat', 'orange pound', 'wiener', 'tiramisu']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Completed
2023-07-20 12:31:00,Sat,14800.0,Dongmyeon,"['angbutter', 'caffe latte', 'pain au chocolat']","[1.0, 1.0, 1.0]",Completed
2023-07-20 12:55:00,Sat,15800.0,Dongmyeon,"['angbutter', 'tiramisu croissant', 'orange pound']","[1.0, 1.0, 1.0]",Completed
2023-07-20 13:19:00,Sat,20500.0,Dongmyeon,"['croissant', 'tiramisu croissant', 'pain au chocolat']","[2.0, 1.0, 2.0]",Completed
2023-07-20 13:44:00,Sat,18600.0,Dongmyeon,"['angbutter', 'croissant', 'pain au chocolat']","[2.0, 1.0, 1.0]",Completed
2023-07-20 13:56:00,Sat,17800.0,Dongmyeon,"['angbutter', 'americano', 'croissant', 'pain au chocolat']","[1.0, 1.0, 1.0, 1.0]",Completed
2023-07-21 11:07:00,Sun,18600.0,Dongmyeon,"['angbutter', 'croissant', 'gateau chocolat', 'tiramisu']","[1.0, 1.0, 1.0, 1.0]",Completed
2023-07-21 11:42:00,Sun,17300.0,Dongmyeon,"['angbutter', 'plain bread', 'croissant', 'pain au chocolat']","[1.0, 1.0, 1.0, 1.0]",Completed
2023-07-21 12:12:00,Sun,17800.0,Dongmyeon,"['angbutter', 'americano', 'orange pound', 'wiener']","[1.0, 1.0, 1.0, 1.0]",Completed
2023-07-21 12:25:00,Sun,14800.0,Dongmyeon,"['angbutter', 'caffe latte', 'pain au chocolat']","[1.0, 1.0, 1.0]",Completed
2023-07-21 12:29:00,Sun,16100.0,Dongmyeon,"['angbutter', 'orange pound']","[2.0, 1.0]",Completed
2023-07-21 12:47:00,Sun,21000.0,Dongmyeon,"['plain bread', 'croissant', 'tiramisu croissant', 'pain au chocolat', 'orange pound']","[1.0, 1.0, 1.0, 1.0, 1.0]",Completed
2023-07-21 13:37:00,Sun,19300.0,Dongmyeon,"['angbutter', 'croissant', 'milk tea']","[1.0, 1.0, 2.0]",Completed
2023-07-21 13:45:00,Sun,22300.0,Dongmyeon,"['angbutter', 'americano', 'croissant', 'tiramisu croissant']","[1.0, 2.0, 1.0, 1.0]",Completed
2023-07-21 14:05:00,Sun,18300.0,Dongmyeon,"['angbutter', 'plain bread', 'croissant', 'vanilla latte']","[1.0, 1.0, 1.0, 1.0]",Completed
2023-07-21 14:53:00,Sun,15300.0,Dongmyeon,"['angbutter', 'plain bread', 'jam', 'croissant']","[1.0, 1.0, 1.0, 1.0]",Completed
2023-07-21 15:21:00,Sun,15100.0,Dongmyeon,"['angbutter', 'almond croissant', 'gateau chocolat']","[1.0, 1.0, 1.0]",Completed
2023-07-22 11:38:00,Mon,15600.0,Dongmyeon,"['angbutter', 'americano']","[2.0, 1.0]",Completed
2023-07-22 12:16:00,Mon,19300.0,Dongmyeon,"['angbutter', 'croissant', 'milk tea', 'orange pound']","[1.0, 1.0, 1.0, 1.0]",Completed
2023-07-22 12:24:00,Mon,18300.0,Dongmyeon,"['angbutter', 'croissant', 'pain au chocolat', 'orange pound']","[1.0, 1.0, 1.0, 1.0]",Completed
2023-07-22 12:41:00,Mon,18300.0,Dongmyeon,"['angbutter', 'croissant', 'tiramisu croissant']","[1.0, 2.0, 1.0]",Completed
2023-07-22 13:28:00,Mon,16600.0,Dongmyeon,"['angbutter', 'pain au chocolat']","[2.0, 2.0]",Completed
2023-07-22 13:44:00,Mon,14800.0,Dongmyeon,"['angbutter', 'pain au chocolat', 'pandoro']","[1.0, 1.0, 1.0]",Completed
2023-07-22 14:47:00,Mon,26000.0,Dongmyeon,['angbutter'],[5.0],Completed
2023-07-22 15:37:00,Mon,19600.0,Dongmyeon,"['angbutter', 'caffe latte', 'tiramisu croissant', 'gateau chocolat']","[1.0, 1.0, 1.0, 1.0]",Completed
2023-07-22 16:54:00,Mon,18600.0,Dongmyeon,"['angbutter', 'croissant', 'gateau chocolat', 'berry ade']","[1.0, 1.0, 1.0, 1.0]",Completed
2023-07-24 11:29:00,Wed,16400.0,Dongmyeon,['angbutter'],[3.0],Completed
2023-07-24 11:56:00,Wed,27100.0,Dongmyeon,"['angbutter', 'plain bread', 'tiramisu croissant', 'orange pound']","[2.0, 2.0, 1.0, 1.0]",Completed
2023-07-24 13:24:00,Wed,18800.0,Dongmyeon,"['angbutter', 'plain bread', 'americano', 'croissant']","[1.0, 1.0, 1.0, 1.0]",Completed
2023-07-24 14:25:00,Wed,25400.0,Dongmyeon,"['angbutter', 'milk tea']","[3.0, 2.0]",Completed
2023-07-24 14:28:00,Wed,26300.0,Dongmyeon,"['angbutter', 'plain bread', 'americano', 'tiramisu croissant', 'vanilla latte']","[1.0, 2.0, 1.0, 1.0, 1.0]",Completed
2023-07-24 15:36:00,Wed,16100.0,Dongmyeon,"['angbutter', 'almond croissant']","[2.0, 1.0]",Completed
2023-07-24 15:40:00,Wed,16100.0,Dongmyeon,"['angbutter', 'tiramisu croissant']","[2.0, 1.0]",Completed
2023-07-24 16:02:00,Wed,16400.0,Dongmyeon,['angbutter'],[3.0],Completed
2023-07-24 17:20:00,Wed,15000.0,Dongmyeon,"['pain au chocolat', 'almond croissant', 'wiener']","[1.0, 1.0, 2.0]",Completed
2023-07-25 11:49:00,Thur,18600.0,Dongmyeon,"['angbutter', 'tiramisu croissant', 'pain au chocolat', 'gateau chocolat']","[1.0, 1.0, 1.0, 1.0]",Completed
2023-07-25 11:57:00,Thur,26800.0,Dongmyeon,"['angbutter', 'plain bread', 'americano', 'croissant', 'caffe latte', 'vanilla latte']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Completed
2023-07-25 12:01:00,Thur,35000.0,Dongmyeon,"['almond croissant', 'wiener']","[4.0, 6.0]",Completed
2023-07-25 12:35:00,Thur,38000.0,Dongmyeon,"['angbutter', 'croissant', 'pain au chocolat', 'wiener']","[5.0, 1.0, 1.0, 2.0]",Completed
2023-07-25 13:01:00,Thur,23100.0,Dongmyeon,"['angbutter', 'tiramisu croissant', 'pain au chocolat']","[2.0, 1.0, 1.0]",Completed
2023-07-25 13:05:00,Thur,17300.0,Dongmyeon,"['pain au chocolat', 'gateau chocolat', 'berry ade']","[2.0, 1.0, 1.0]",Completed
2023-07-25 13:40:00,Thur,19600.0,Dongmyeon,"['angbutter', 'croissant', 'pandoro']","[2.0, 1.0, 1.0]",Completed
2023-07-25 13:42:00,Thur,15300.0,Dongmyeon,"['angbutter', 'americano', 'pandoro']","[1.0, 1.0, 1.0]",Completed
2023-07-25 14:12:00,Thur,16100.0,Dongmyeon,"['angbutter', 'pandoro']","[2.0, 1.0]",Completed
2023-07-25 15:09:00,Thur,14300.0,Dongmyeon,"['angbutter', 'americano', 'croissant']","[1.0, 1.0, 1.0]",Completed
2023-07-25 15:57:00,Thur,15100.0,Dongmyeon,"['angbutter', 'almond croissant', 'gateau chocolat']","[1.0, 1.0, 1.0]",Completed
2023-07-25 16:03:00,Thur,20000.0,Dongmyeon,"['almond croissant', 'pandoro', 'orange pound', 'vanilla latte']","[1.0, 1.0, 1.0, 1.0]",Completed
2023-07-26 11:26:00,Fri,25300.0,Dongmyeon,"['angbutter', 'plain bread', 'croissant', 'orange pound']","[1.0, 1.0, 3.0, 1.0]",Completed
2023-07-26 11:23:00,Fri,73200.0,Dongmyeon,"['angbutter', 'plain bread', 'croissant', 'tiramisu croissant', 'pain au chocolat', 'pandoro', 'orange pound']","[4.0, 3.0, 6.0, 1.0, 2.0, 1.0, 1.0]",Completed
2023-07-26 11:31:00,Fri,22800.0,Dongmyeon,"['angbutter', 'tiramisu croissant', 'pandoro', 'orange pound', 'wiener']","[1.0, 1.0, 1.0, 1.0, 1.0]",Completed
2023-07-26 11:36:00,Fri,1293000.0,Dongmyeon,"['angbutter', 'plain bread', 'croissant', 'pain au chocolat', 'almond croissant', 'pandoro']","[6.0, 5.0, 5.0, 5.0, 5.0, 5.0]",Completed
2023-07-26 11:37:00,Fri,15000.0,Dongmyeon,"['plain bread', 'jam', 'croissant', 'orange pound']","[1.0, 1.0, 1.0, 1.0]",Completed
2023-07-26 11:55:00,Fri,20800.0,Dongmyeon,"['angbutter', 'tiramisu croissant', 'almond croissant', 'wiener']","[1.0, 1.0, 1.0, 2.0]",Completed
2023-07-26 13:19:00,Fri,25900.0,Dongmyeon,"['angbutter', 'tiramisu croissant', 'wiener']","[3.0, 1.0, 2.0]",Completed
2023-07-26 13:24:00,Fri,28100.0,Dongmyeon,"['angbutter', 'americano', 'pain au chocolat', 'lemon ade', 'orange pound']","[2.0, 1.0, 1.0, 1.0, 1.0]",Completed
2023-07-26 14:05:00,Fri,15800.0,Dongmyeon,"['angbutter', 'milk tea', 'berry ade']","[1.0, 1.0, 1.0]",Completed
2023-07-26 14:24:00,Fri,35000.0,Dongmyeon,"['angbutter', 'orange pound']","[5.0, 2.0]",Completed
2023-07-26 14:52:00,Fri,22100.0,Dongmyeon,"['angbutter', 'almond croissant', 'gateau chocolat', 'lemon ade', 'wiener']","[1.0, 1.0, 1.0, 1.0, 1.0]",Completed
2023-07-26 14:56:00,Fri,16100.0,Dongmyeon,"['angbutter', 'pandoro']","[2.0, 1.0]",Completed
2023-07-27 11:29:00,Sat,18800.0,Dongmyeon,"['angbutter', 'plain bread', 'americano', 'tiramisu croissant']","[1.0, 1.0, 1.0, 1.0]",Completed
2023-07-27 11:57:00,Sat,21800.0,Dongmyeon,"['angbutter', 'plain bread', 'croissant', 'pain au chocolat', 'pandoro']","[1.0, 1.0, 1.0, 1.0, 1.0]",Completed
2023-07-27 12:00:00,Sat,18600.0,Dongmyeon,"['angbutter', 'croissant', 'gateau chocolat', 'vanilla latte']","[1.0, 1.0, 1.0, 1.0]",Completed
2023-07-27 12:07:00,Sat,33200.0,Dongmyeon,"['angbutter', 'plain bread', 'pain au chocolat', 'gateau chocolat']","[2.0, 2.0, 2.0, 2.0]",Completed
2023-07-27 12:20:00,Sat,22800.0,Dongmyeon,"['angbutter', 'croissant', 'pain au chocolat', 'lemon ade', 'tiramisu']","[1.0, 1.0, 1.0, 1.0, 1.0]",Completed
2023-07-27 12:26:00,Sat,17000.0,Dongmyeon,"['angbutter', 'croissant']","[1.0, 3.0]",Completed
2023-07-27 12:43:00,Sat,16400.0,Dongmyeon,"['angbutter', 'plain bread', 'pandoro']","[1.0, 1.0, 1.0]",Completed
2023-07-27 13:50:00,Sat,14800.0,Dongmyeon,"['angbutter', 'plain bread', 'pandoro']","[1.0, 1.0, 1.0]",Completed
2023-07-27 14:05:00,Sat,32600.0,Dongmyeon,"['angbutter', 'plain bread', 'jam', 'gateau chocolat', 'lemon ade', 'orange pound', 'wiener', 'vanilla latte']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Completed
2023-07-28 11:17:00,Sun,17300.0,Dongmyeon,"['angbutter', 'croissant', 'orange pound', 'wiener']","[1.0, 1.0, 1.0, 1.0]",Completed
2023-07-28 12:10:00,Sun,14800.0,Dongmyeon,"['angbutter', 'plain bread', 'pandoro']","[1.0, 1.0, 1.0]",Completed
2023-07-28 12:21:00,Sun,14800.0,Dongmyeon,"['angbutter', 'tiramisu croissant', 'pain au chocolat']","[1.0, 1.0, 1.0]",Completed
2023-07-28 12:47:00,Sun,14300.0,Dongmyeon,"['angbutter', 'americano', 'pain au chocolat']","[1.0, 1.0, 1.0]",Completed
2023-07-28 12:48:00,Sun,14800.0,Dongmyeon,"['angbutter', 'croissant', 'tiramisu croissant']","[1.0, 1.0, 1.0]",Completed
2023-07-28 13:13:00,Sun,25600.0,Dongmyeon,"['angbutter', 'plain bread', 'croissant', 'wiener']","[2.0, 1.0, 2.0, 1.0]",Completed
2023-07-28 13:14:00,Sun,19500.0,Dongmyeon,"['plain bread', 'jam', 'pain au chocolat', 'pandoro', 'berry ade']","[1.0, 1.0, 1.0, 1.0, 1.0]",Completed
2023-07-29 11:08:00,Mon,24800.0,Dongmyeon,"['angbutter', 'croissant', 'wiener']","[1.0, 3.0, 3.0]",Completed
2023-07-29 11:12:00,Mon,24100.0,Dongmyeon,"['angbutter', 'croissant', 'tiramisu croissant', 'orange pound']","[2.0, 1.0, 1.0, 1.0]",Completed
2023-07-28 11:14:00,Mon,15800.0,Dongmyeon,"['angbutter', 'tiramisu croissant', 'pandoro']","[1.0, 1.0, 1.0]",Completed
2023-07-29 11:39:00,Mon,14800.0,Dongmyeon,"['angbutter', 'pain au chocolat', 'pandoro']","[1.0, 1.0, 1.0]",Completed
2023-07-29 12:02:00,Mon,14800.0,Dongmyeon,"['angbutter', 'pain au chocolat', 'orange pound']","[1.0, 1.0, 1.0]",Completed
2023-07-29 12:15:00,Mon,18300.0,Dongmyeon,"['angbutter', 'croissant', 'pain au chocolat', 'orange pound']","[1.0, 1.0, 1.0, 1.0]",Completed
2023-07-29 12:22:00,Mon,27900.0,Dongmyeon,"['angbutter', 'plain bread', 'pain au chocolat', 'orange pound']","[3.0, 1.0, 1.0, 1.0]",Completed
2023-07-29 12:54:00,Mon,15800.0,Dongmyeon,"['angbutter', 'almond croissant', 'orange pound']","[1.0, 1.0, 1.0]",Completed
2023-07-29 13:25:00,Mon,18100.0,Dongmyeon,"['angbutter', 'americano', 'croissant', 'gateau chocolat']","[1.0, 1.0, 1.0, 1.0]",Completed
2023-07-29 13:36:00,Mon,28000.0,Dongmyeon,"['croissant', 'almond croissant', 'milk tea', 'pandoro', 'vanilla latte']","[1.0, 1.0, 1.0, 1.0, 1.0]",Completed
2023-07-29 13:53:00,Mon,28000.0,Dongmyeon,"['americano', 'tiramisu croissant', 'almond croissant', 'pandoro', 'vanilla latte']","[2.0, 1.0, 1.0, 1.0, 1.0]",Completed
2023-07-31 11:09:00,Wed,15600.0,Dongmyeon,"['angbutter', 'americano']","[2.0, 1.0]",Completed
2023-07-31 11:25:00,Wed,30100.0,Dongmyeon,"['angbutter', 'plain bread', 'croissant', 'pain au chocolat', 'pandoro']","[2.0, 1.0, 2.0, 1.0, 1.0]",Completed
2023-07-31 11:38:00,Wed,23300.0,Dongmyeon,"['angbutter', 'plain bread', 'jam', 'croissant', 'pain au chocolat', 'almond croissant']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Completed
2023-07-31 11:44:00,Wed,30200.0,Dongmyeon,"['angbutter', 'americano', 'pain au chocolat', 'gateau chocolat']","[2.0, 1.0, 2.0, 2.0]",Completed
2023-07-31 12:48:00,Wed,15100.0,Dongmyeon,"['angbutter', 'plain bread']","[2.0, 1.0]",Completed
2023-07-31 13:18:00,Wed,27300.0,Dongmyeon,"['angbutter', 'plain bread', 'americano', 'pandoro', 'vanilla latte']","[1.0, 1.0, 2.0, 1.0, 1.0]",Completed
2023-07-31 13:19:00,Wed,15300.0,Dongmyeon,"['angbutter', 'americano', 'tiramisu croissant']","[1.0, 1.0, 1.0]",Completed
2023-07-31 13:29:00,Wed,16100.0,Dongmyeon,"['angbutter', 'gateau chocolat', 'pandoro']","[1.0, 1.0, 1.0]",Completed
2023-07-31 13:54:00,Wed,15100.0,Dongmyeon,"['angbutter', 'milk tea', 'gateau chocolat']","[1.0, 1.0, 1.0]",Completed
2023-07-31 13:58:00,Wed,15800.0,Dongmyeon,"['angbutter', 'tiramisu croissant', 'pandoro']","[1.0, 1.0, 1.0]",Completed
2023-08-01 11:03:00,Thur,14500.0,Dongmyeon,"['tiramisu croissant', 'pain au chocolat', 'pandoro']","[1.0, 1.0, 1.0]",Completed
2023-08-01 11:17:00,Thur,13100.0,Dongmyeon,"['angbutter', 'pain au chocolat']","[2.0, 1.0]",Completed
2023-08-01 11:25:00,Thur,16100.0,Dongmyeon,"['angbutter', 'pandoro']","[2.0, 1.0]",Completed
2023-08-01 11:50:00,Thur,14800.0,Dongmyeon,"['angbutter', 'croissant', 'orange pound']","[1.0, 1.0, 1.0]",Completed
2023-08-01 12:02:00,Thur,21100.0,Dongmyeon,"['angbutter', 'plain bread', 'croissant', 'pandoro']","[2.0, 1.0, 1.0, 1.0]",Completed
2023-08-01 12:15:00,Thur,20600.0,Dongmyeon,"['angbutter', 'tiramisu croissant', 'orange pound']","[2.0, 1.0, 1.0]",Completed
2023-08-01 12:24:00,Thur,32600.0,Dongmyeon,"['angbutter', 'plain bread', 'croissant', 'tiramisu croissant', 'pain au chocolat', 'gateau chocolat']","[1.0, 2.0, 2.0, 1.0, 1.0, 1.0]",Completed
2023-08-01 12:38:00,Thur,14500.0,Dongmyeon,"['plain bread', 'milk tea', 'pandoro']","[1.0, 1.0, 1.0]",Completed
2023-08-01 13:37:00,Thur,15100.0,Dongmyeon,"['angbutter', 'croissant']","[2.0, 1.0]",Completed
2023-08-01 13:39:00,Thur,15000.0,Dongmyeon,"['plain bread', 'jam', 'pain au chocolat', 'milk tea']","[1.0, 1.0, 1.0, 1.0]",Completed
2023-08-01 14:17:00,Thur,14800.0,Dongmyeon,"['angbutter', 'tiramisu croissant', 'pain au chocolat']","[1.0, 1.0, 1.0]",Completed
2023-08-01 14:56:00,Thur,23000.0,Dongmyeon,"['croissant', 'pain au chocolat']","[4.0, 2.0]",Completed
2023-08-02 11:03:00,Fri,19900.0,Dongmyeon,"['angbutter', 'pain au chocolat']","[3.0, 1.0]",Completed
2023-08-02 11:04:00,Fri,14100.0,Dongmyeon,"['angbutter', 'plain bread', 'gateau chocolat']","[1.0, 1.0, 1.0]",Completed
2023-08-02 11:06:00,Fri,18000.0,Dongmyeon,"['angbutter', 'tiramisu croissant', 'pandoro', 'orange pound', 'wiener']","[3.0, 1.0, 1.0, 1.0, 1.0]",Completed
2023-08-02 11:19:00,Fri,16400.0,Dongmyeon,['angbutter'],[3.0],Completed
2023-08-02 11:31:00,Fri,17300.0,Dongmyeon,"['angbutter', 'plain bread', 'wiener', 'berry ade']","[1.0, 1.0, 1.0, 1.0]",Completed
2023-08-02 11:57:00,Fri,30800.0,Dongmyeon,['angbutter'],[6.0],Completed
2023-08-02 12:21:00,Fri,15800.0,Dongmyeon,"['angbutter', 'caffe latte', 'tiramisu croissant']","[1.0, 1.0, 1.0]",Completed
2023-08-02 12:31:00,Fri,19900.0,Dongmyeon,"['angbutter', 'gateau chocolat', 'orange pound']","[2.0, 1.0, 1.0]",Completed
2023-08-02 12:51:00,Fri,15800.0,Dongmyeon,"['angbutter', 'plain bread', 'tiramisu croissant']","[1.0, 1.0, 1.0]",Completed
2023-08-03 11:02:00,Sat,26000.0,Dongmyeon,['angbutter'],[5.0],Completed
2023-08-03 11:03:00,Sat,26100.0,Dongmyeon,"['angbutter', 'plain bread', 'pain au chocolat', 'wiener']","[2.0, 1.0, 1.0, 3.0]",Completed
2023-08-03 11:03:00,Sat,16000.0,Dongmyeon,"['croissant', 'pain au chocolat']","[2.0, 2.0]",Completed
2023-08-03 11:05:00,Sat,29100.0,Dongmyeon,"['angbutter', 'croissant', 'pain au chocolat', 'almond croissant', 'gateau chocolat', 'orange pound', 'wiener']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Completed
2023-08-03 11:06:00,Sat,16800.0,Dongmyeon,"['angbutter', 'plain bread', 'jam', 'wiener']","[1.0, 1.0, 1.0, 2.0]",Completed
2023-08-03 11:08:00,Sat,22800.0,Dongmyeon,"['plain bread', 'croissant', 'gateau chocolat', 'wiener']","[1.0, 1.0, 1.0, 4.0]",Completed
2023-08-03 11:20:00,Sat,16600.0,Dongmyeon,"['angbutter', 'croissant', 'gateau chocolat', 'wiener']","[1.0, 1.0, 1.0, 1.0]",Completed
2023-08-03 11:53:00,Sat,18800.0,Dongmyeon,"['angbutter', 'plain bread', 'croissant', 'wiener']","[1.0, 1.0, 1.0, 2.0]",Completed
2023-08-03 12:06:00,Sat,16400.0,Dongmyeon,['angbutter'],[3.0],Completed
2023-08-03 12:44:00,Sat,19300.0,Dongmyeon,"['angbutter', 'plain bread', 'milk tea', 'orange pound']","[1.0, 1.0, 1.0, 1.0]",Completed
2023-08-03 13:06:00,Sat,16400.0,Dongmyeon,['angbutter'],[3.0],Completed
2023-08-03 13:18:00,Sat,18300.0,Dongmyeon,"['angbutter', 'americano', 'croissant']","[1.0, 2.0, 1.0]",Completed
2023-08-03 13:20:00,Sat,16300.0,Dongmyeon,"['angbutter', 'jam', 'croissant', 'orange pound']","[1.0, 1.0, 1.0, 1.0]",Completed
2023-08-03 13:42:00,Sat,15800.0,Dongmyeon,"['angbutter', 'almond croissant']","[1.0, 2.0]",Completed
2023-08-03 15:07:00,Sat,17900.0,Dongmyeon,"['angbutter', 'jam']","[3.0, 1.0]",Completed
2023-08-03 15:53:00,Sat,16400.0,Dongmyeon,['angbutter'],[3.0],Completed
2023-08-04 11:02:00,Sun,34800.0,Dongmyeon,"['angbutter', 'plain bread', 'americano', 'croissant', 'pain au chocolat', 'wiener']","[1.0, 1.0, 2.0, 2.0, 2.0, 1.0]",Completed
2023-08-04 11:04:00,Sun,31600.0,Dongmyeon,"['angbutter', 'plain bread', 'croissant', 'pain au chocolat', 'orange pound', 'wiener']","[2.0, 1.0, 1.0, 1.0, 1.0, 2.0]",Completed
2023-08-04 11:07:00,Sun,16400.0,Dongmyeon,['angbutter'],[3.0],Completed
2023-08-04 11:07:00,Sun,19300.0,Dongmyeon,"['angbutter', 'plain bread', 'tiramisu croissant', 'milk tea']","[1.0, 1.0, 1.0, 1.0]",Completed
2023-08-04 11:41:00,Sun,24300.0,Dongmyeon,"['angbutter', 'plain bread', 'jam', 'tiramisu croissant', 'pain au chocolat', 'wiener']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Completed
2023-08-04 11:52:00,Sun,22100.0,Dongmyeon,"['angbutter', 'croissant', 'orange pound', 'wiener']","[2.0, 1.0, 1.0, 1.0]",Completed
