datetime,day of week,total,place,product_names,quantities_product,Order status,location,Driver_id
2023-07-21 11:42:00,Sun,17.3,City Centre,"angbutter, plain bread, croissant, pain au chocolat","[1.0, 1.0, 1.0, 1.0]",Completed,"37.88933605106965, 127.84509932416657",1
2023-07-21 12:12:00,Sun,17.8,City Centre,"angbutter, americano, orange pound, wiener","[1.0, 1.0, 1.0, 1.0]",Completed,"37.89003652783181, 127.84496759156463",3
2023-07-21 12:25:00,Sun,14.8,City Centre,"angbutter, caffe latte, pain au chocolat","[1.0, 1.0, 1.0]",Completed,"37.889421756670586, 127.84367158560092",2
2023-07-21 12:29:00,Sun,16.1,City Centre,"angbutter, orange pound","[2.0, 1.0]",Completed,"37.88977810984119, 127.84410947239274",2
2023-07-21 12:47:00,Sun,21.0,City Centre,"plain bread, croissant, tiramisu croissant, pain au chocolat, orange pound","[1.0, 1.0, 1.0, 1.0, 1.0]",Completed,"37.888416118204624, 127.84525833786425",3
2023-07-21 13:37:00,Sun,19.3,City Centre,"angbutter, croissant, milk tea","[1.0, 1.0, 2.0]",Completed,"37.88947479778952, 127.84429663813974",5
2023-07-21 13:45:00,Sun,22.3,City Centre,"angbutter, americano, croissant, tiramisu croissant","[1.0, 2.0, 1.0, 1.0]",Completed,"37.88927971358903, 127.84379422772889",1
2023-07-21 14:05:00,Sun,18.3,City Centre,"angbutter, plain bread, croissant, vanilla latte","[1.0, 1.0, 1.0, 1.0]",Completed,"37.88824058260843, 127.84451066105859",4
2023-07-21 14:53:00,Sun,15.3,City Centre,"angbutter, plain bread, jam, croissant","[1.0, 1.0, 1.0, 1.0]",Completed,"37.88869243787096, 127.84393751580275",2
2023-07-21 15:21:00,Sun,15.1,City Centre,"angbutter, almond croissant, gateau chocolat","[1.0, 1.0, 1.0]",Completed,"37.88827779095455, 127.84515041639595",1
2023-07-22 11:38:00,Mon,15.6,City Centre,"angbutter, americano","[2.0, 1.0]",Completed,"37.88943584765202, 127.84405549837544",1
2023-07-22 12:16:00,Mon,19.3,City Centre,"angbutter, croissant, milk tea, orange pound","[1.0, 1.0, 1.0, 1.0]",Completed,"37.889082640427496, 127.84371893586678",4
2023-07-22 12:24:00,Mon,18.3,City Centre,"angbutter, croissant, pain au chocolat, orange pound","[1.0, 1.0, 1.0, 1.0]",Completed,"37.88872866623971, 127.84548043886493",2
2023-07-22 12:41:00,Mon,18.3,City Centre,"angbutter, croissant, tiramisu croissant","[1.0, 2.0, 1.0]",Completed,"37.88850520993941, 127.84548397467273",2
2023-07-22 13:28:00,Mon,16.6,City Centre,"angbutter, pain au chocolat","[2.0, 2.0]",Completed,"37.88997350373901, 127.84407281830812",4
2023-07-22 13:44:00,Mon,14.8,City Centre,"angbutter, pain au chocolat, pandoro","[1.0, 1.0, 1.0]",Completed,"37.88903293048493, 127.8455323460475",4
2023-07-22 14:47:00,Mon,26.0,City Centre,angbutter,[5.0],Completed,"37.88834138587684, 127.8440534544078",1
2023-07-22 15:37:00,Mon,19.6,City Centre,"angbutter, caffe latte, tiramisu croissant, gateau chocolat","[1.0, 1.0, 1.0, 1.0]",Completed,"37.8895588580481, 127.84410864653093",4
2023-07-22 16:54:00,Mon,18.6,City Centre,"angbutter, croissant, gateau chocolat, berry ade","[1.0, 1.0, 1.0, 1.0]",Completed,"37.88923350855276, 127.84422123875476",5
2023-07-24 11:29:00,Wed,16.4,City Centre,angbutter,[3.0],Completed,"37.88962521567262, 127.84461715030012",5
2023-07-24 11:56:00,Wed,27.1,City Centre,"angbutter, plain bread, tiramisu croissant, orange pound","[2.0, 2.0, 1.0, 1.0]",Completed,"37.889684247669905, 127.843733429512",1
2023-07-24 13:24:00,Wed,18.8,City Centre,"angbutter, plain bread, americano, croissant","[1.0, 1.0, 1.0, 1.0]",Completed,"37.89005640105639, 127.84387793944849",4
2023-07-24 14:25:00,Wed,25.4,City Centre,"angbutter, milk tea","[3.0, 2.0]",Completed,"37.88894166324031, 127.8438238467391",2
2023-07-24 14:28:00,Wed,26.3,City Centre,"angbutter, plain bread, americano, tiramisu croissant, vanilla latte","[1.0, 2.0, 1.0, 1.0, 1.0]",Completed,"37.88817064496341, 127.84499554530127",1
2023-07-24 15:36:00,Wed,16.1,City Centre,"angbutter, almond croissant","[2.0, 1.0]",Completed,"37.88980383427691, 127.8450197497105",2
2023-07-24 15:40:00,Wed,16.1,City Centre,"angbutter, tiramisu croissant","[2.0, 1.0]",Completed,"37.88857703228316, 127.84509238230588",1
2023-07-24 16:02:00,Wed,16.4,City Centre,angbutter,[3.0],Completed,"37.88883511039686, 127.84473528931503",3
2023-07-24 17:20:00,Wed,15.0,City Centre,"pain au chocolat, almond croissant, wiener","[1.0, 1.0, 2.0]",Completed,"37.889943522736665, 127.84546974664576",4
2023-07-25 11:49:00,Thur,18.6,City Centre,"angbutter, tiramisu croissant, pain au chocolat, gateau chocolat","[1.0, 1.0, 1.0, 1.0]",Completed,"37.88919758668548, 127.84471382121767",3
2023-07-25 11:57:00,Thur,26.8,City Centre,"angbutter, plain bread, americano, croissant, caffe latte, vanilla latte","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Completed,"37.88922256899566, 127.84517587221443",5
2023-07-25 12:01:00,Thur,35.0,City Centre,"almond croissant, wiener","[4.0, 6.0]",Completed,"37.888492316597215, 127.84393614760481",2
2023-07-25 12:35:00,Thur,38.0,City Centre,"angbutter, croissant, pain au chocolat, wiener","[5.0, 1.0, 1.0, 2.0]",Completed,"37.88888655924219, 127.84434299735152",3
2023-07-25 13:01:00,Thur,23.1,City Centre,"angbutter, tiramisu croissant, pain au chocolat","[2.0, 1.0, 1.0]",Completed,"37.88842370540408, 127.84361256477285",2
2023-07-25 13:05:00,Thur,17.3,City Centre,"pain au chocolat, gateau chocolat, berry ade","[2.0, 1.0, 1.0]",Completed,"37.88909436591431, 127.84393522810205",2
2023-07-25 13:40:00,Thur,19.6,City Centre,"angbutter, croissant, pandoro","[2.0, 1.0, 1.0]",Completed,"37.88936815509205, 127.84547936571839",1
2023-07-25 13:42:00,Thur,15.3,City Centre,"angbutter, americano, pandoro","[1.0, 1.0, 1.0]",Completed,"37.888370105120764, 127.84371076646843",2
2023-07-25 14:12:00,Thur,16.1,City Centre,"angbutter, pandoro","[2.0, 1.0]",Completed,"37.88877539446649, 127.84529706308177",4
2023-07-25 15:09:00,Thur,14.3,City Centre,"angbutter, americano, croissant","[1.0, 1.0, 1.0]",Completed,"37.888527613951304, 127.84506066566179",1
2023-07-25 15:57:00,Thur,15.1,City Centre,"angbutter, almond croissant, gateau chocolat","[1.0, 1.0, 1.0]",Completed,"37.889438373584085, 127.84494569882098",1
2023-07-25 16:03:00,Thur,20.0,City Centre,"almond croissant, pandoro, orange pound, vanilla latte","[1.0, 1.0, 1.0, 1.0]",Completed,"37.888407940402764, 127.84368828758672",5
2023-07-26 11:26:00,Fri,25.3,City Centre,"angbutter, plain bread, croissant, orange pound","[1.0, 1.0, 3.0, 1.0]",Completed,"37.88947543051903, 127.84511862379715",3
2023-07-26 11:23:00,Fri,73.2,City Centre,"angbutter, plain bread, croissant, tiramisu croissant, pain au chocolat, pandoro, orange pound","[4.0, 3.0, 6.0, 1.0, 2.0, 1.0, 1.0]",Completed,"37.88851517398759, 127.845441866975",5
2023-07-26 11:31:00,Fri,22.8,City Centre,"angbutter, tiramisu croissant, pandoro, orange pound, wiener","[1.0, 1.0, 1.0, 1.0, 1.0]",Completed,"37.889223285384176, 127.84440557062725",4
2023-07-26 11:36:00,Fri,1293.0,City Centre,"angbutter, plain bread, croissant, pain au chocolat, almond croissant, pandoro","[6.0, 5.0, 5.0, 5.0, 5.0, 5.0]",Completed,"37.88899573952494, 127.8450339381826",1
2023-07-26 11:37:00,Fri,15.0,City Centre,"plain bread, jam, croissant, orange pound","[1.0, 1.0, 1.0, 1.0]",Completed,"37.88984859662819, 127.84540159013095",3
2023-07-26 11:55:00,Fri,20.8,City Centre,"angbutter, tiramisu croissant, almond croissant, wiener","[1.0, 1.0, 1.0, 2.0]",Completed,"37.88830845225903, 127.84373002627206",1
2023-07-26 13:19:00,Fri,25.9,City Centre,"angbutter, tiramisu croissant, wiener","[3.0, 1.0, 2.0]",Completed,"37.88872131909574, 127.84534946083048",1
2023-07-26 13:24:00,Fri,28.1,City Centre,"angbutter, americano, pain au chocolat, lemon ade, orange pound","[2.0, 1.0, 1.0, 1.0, 1.0]",Completed,"37.88924821812351, 127.84528160706564",3
2023-07-26 14:05:00,Fri,15.8,City Centre,"angbutter, milk tea, berry ade","[1.0, 1.0, 1.0]",Completed,"37.8884410123659, 127.84482594301959",5
2023-07-26 14:24:00,Fri,35.0,City Centre,"angbutter, orange pound","[5.0, 2.0]",Completed,"37.88896317345657, 127.84496187054067",3
2023-07-26 14:52:00,Fri,22.1,City Centre,"angbutter, almond croissant, gateau chocolat, lemon ade, wiener","[1.0, 1.0, 1.0, 1.0, 1.0]",Completed,"37.88834679095021, 127.84410492577724",2
2023-07-26 14:56:00,Fri,16.1,City Centre,"angbutter, pandoro","[2.0, 1.0]",Completed,"37.88830987602061, 127.84378172268022",1
2023-07-27 11:29:00,Sat,18.8,City Centre,"angbutter, plain bread, americano, tiramisu croissant","[1.0, 1.0, 1.0, 1.0]",Completed,"37.88903079284261, 127.84440420384989",2
2023-07-27 11:57:00,Sat,21.8,City Centre,"angbutter, plain bread, croissant, pain au chocolat, pandoro","[1.0, 1.0, 1.0, 1.0, 1.0]",Completed,"37.88823763740439, 127.84536040458133",3
2023-07-27 12:00:00,Sat,18.6,City Centre,"angbutter, croissant, gateau chocolat, vanilla latte","[1.0, 1.0, 1.0, 1.0]",Completed,"37.88874668721091, 127.84361751676971",2
2023-07-27 12:07:00,Sat,33.2,City Centre,"angbutter, plain bread, pain au chocolat, gateau chocolat","[2.0, 2.0, 2.0, 2.0]",Completed,"37.889933639220295, 127.84390106925419",1
2023-07-27 12:20:00,Sat,22.8,City Centre,"angbutter, croissant, pain au chocolat, lemon ade, tiramisu","[1.0, 1.0, 1.0, 1.0, 1.0]",Completed,"37.888321828489104, 127.84424122780898",5
2023-07-27 12:26:00,Sat,17.0,City Centre,"angbutter, croissant","[1.0, 3.0]",Completed,"37.88975710972006, 127.8443057076324",2
2023-07-27 12:43:00,Sat,16.4,City Centre,"angbutter, plain bread, pandoro","[1.0, 1.0, 1.0]",Completed,"37.889184958974845, 127.84504158271004",2
2023-07-27 13:50:00,Sat,14.8,City Centre,"angbutter, plain bread, pandoro","[1.0, 1.0, 1.0]",Completed,"37.88986813804209, 127.84528189513067",5
2023-07-27 14:05:00,Sat,32.6,City Centre,"angbutter, plain bread, jam, gateau chocolat, lemon ade, orange pound, wiener, vanilla latte","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Completed,"37.889905012375145, 127.84525344438454",5
2023-07-28 11:17:00,Sun,17.3,City Centre,"angbutter, croissant, orange pound, wiener","[1.0, 1.0, 1.0, 1.0]",Completed,"37.88919456042297, 127.84503557196588",2
2023-07-28 12:10:00,Sun,14.8,City Centre,"angbutter, plain bread, pandoro","[1.0, 1.0, 1.0]",Completed,"37.88924222284114, 127.8437701309342",3
2023-07-28 12:21:00,Sun,14.8,City Centre,"angbutter, tiramisu croissant, pain au chocolat","[1.0, 1.0, 1.0]",Completed,"37.889212824369736, 127.84383861163892",4
2023-07-28 12:47:00,Sun,14.3,City Centre,"angbutter, americano, pain au chocolat","[1.0, 1.0, 1.0]",Completed,"37.88931227955945, 127.84559306562443",3
2023-07-28 12:48:00,Sun,14.8,City Centre,"angbutter, croissant, tiramisu croissant","[1.0, 1.0, 1.0]",Completed,"37.88923248843529, 127.84476082443575",2
2023-07-28 13:13:00,Sun,25.6,City Centre,"angbutter, plain bread, croissant, wiener","[2.0, 1.0, 2.0, 1.0]",Completed,"37.888366045070775, 127.84521289383193",5
2023-07-28 13:14:00,Sun,19.5,City Centre,"plain bread, jam, pain au chocolat, pandoro, berry ade","[1.0, 1.0, 1.0, 1.0, 1.0]",Completed,"37.88816289592754, 127.84385379685484",2
2023-07-29 11:08:00,Mon,24.8,City Centre,"angbutter, croissant, wiener","[1.0, 3.0, 3.0]",Completed,"37.88882820552143, 127.84375187427032",4
2023-07-29 11:12:00,Mon,24.1,City Centre,"angbutter, croissant, tiramisu croissant, orange pound","[2.0, 1.0, 1.0, 1.0]",Completed,"37.888768782126945, 127.84536666083869",1
2023-07-28 11:14:00,Mon,15.8,City Centre,"angbutter, tiramisu croissant, pandoro","[1.0, 1.0, 1.0]",Completed,"37.88933007775246, 127.84414920073944",1
2023-07-29 11:39:00,Mon,14.8,City Centre,"angbutter, pain au chocolat, pandoro","[1.0, 1.0, 1.0]",Completed,"37.88913922429625, 127.84487644748984",1
2023-07-29 12:02:00,Mon,14.8,City Centre,"angbutter, pain au chocolat, orange pound","[1.0, 1.0, 1.0]",Completed,"37.88872871615892, 127.84403709601223",4
2023-07-29 12:15:00,Mon,18.3,City Centre,"angbutter, croissant, pain au chocolat, orange pound","[1.0, 1.0, 1.0, 1.0]",Completed,"37.889190926485476, 127.84406922574513",1
2023-07-29 12:22:00,Mon,27.9,City Centre,"angbutter, plain bread, pain au chocolat, orange pound","[3.0, 1.0, 1.0, 1.0]",Completed,"37.88903137179476, 127.84378686982606",3
2023-07-29 12:54:00,Mon,15.8,City Centre,"angbutter, almond croissant, orange pound","[1.0, 1.0, 1.0]",Completed,"37.8895380227847, 127.84427601328734",3
2023-07-29 13:25:00,Mon,18.1,City Centre,"angbutter, americano, croissant, gateau chocolat","[1.0, 1.0, 1.0, 1.0]",Completed,"37.88934856487233, 127.84396907725166",5
2023-07-29 13:36:00,Mon,28.0,City Centre,"croissant, almond croissant, milk tea, pandoro, vanilla latte","[1.0, 1.0, 1.0, 1.0, 1.0]",Completed,"37.88901335624311, 127.84543114126343",2
2023-07-29 13:53:00,Mon,28.0,City Centre,"americano, tiramisu croissant, almond croissant, pandoro, vanilla latte","[2.0, 1.0, 1.0, 1.0, 1.0]",Completed,"37.88860565242987, 127.84410370768073",5
2023-07-31 11:09:00,Wed,15.6,City Centre,"angbutter, americano","[2.0, 1.0]",Completed,"37.889149538656504, 127.84402951922877",2
2023-07-31 11:25:00,Wed,30.1,City Centre,"angbutter, plain bread, croissant, pain au chocolat, pandoro","[2.0, 1.0, 2.0, 1.0, 1.0]",Completed,"37.88887476840356, 127.8437449176207",1
2023-07-31 11:38:00,Wed,23.3,City Centre,"angbutter, plain bread, jam, croissant, pain au chocolat, almond croissant","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Completed,"37.889086820951384, 127.84476736688735",3
2023-07-31 11:44:00,Wed,30.2,City Centre,"angbutter, americano, pain au chocolat, gateau chocolat","[2.0, 1.0, 2.0, 2.0]",Completed,"37.88906248134894, 127.84382152044468",3
2023-07-31 12:48:00,Wed,15.1,City Centre,"angbutter, plain bread","[2.0, 1.0]",Completed,"37.88948571162573, 127.8453379352133",4
2023-07-31 13:18:00,Wed,27.3,City Centre,"angbutter, plain bread, americano, pandoro, vanilla latte","[1.0, 1.0, 2.0, 1.0, 1.0]",Completed,"37.88930457754938, 127.84539729630903",2
2023-07-31 13:19:00,Wed,15.3,City Centre,"angbutter, americano, tiramisu croissant","[1.0, 1.0, 1.0]",Completed,"37.89005347304195, 127.84481497172554",5
2023-07-31 13:29:00,Wed,16.1,City Centre,"angbutter, gateau chocolat, pandoro","[1.0, 1.0, 1.0]",Completed,"37.89005182654586, 127.84374695354879",2
2023-07-31 13:54:00,Wed,15.1,City Centre,"angbutter, milk tea, gateau chocolat","[1.0, 1.0, 1.0]",Completed,"37.888542135641075, 127.84543493197245",1
2023-07-31 13:58:00,Wed,15.8,City Centre,"angbutter, tiramisu croissant, pandoro","[1.0, 1.0, 1.0]",Completed,"37.88950412109895, 127.8443859253991",4
2023-08-01 11:03:00,Thur,14.5,City Centre,"tiramisu croissant, pain au chocolat, pandoro","[1.0, 1.0, 1.0]",Completed,"37.889434003973456, 127.84377865124154",5
2023-08-01 11:17:00,Thur,13.1,City Centre,"angbutter, pain au chocolat","[2.0, 1.0]",Completed,"37.88961887892756, 127.8449095402707",2
2023-08-01 11:25:00,Thur,16.1,City Centre,"angbutter, pandoro","[2.0, 1.0]",Completed,"37.88830245509842, 127.84479221838262",5
2023-08-01 11:50:00,Thur,14.8,City Centre,"angbutter, croissant, orange pound","[1.0, 1.0, 1.0]",Completed,"37.888975314251205, 127.84501369366949",3
2023-08-01 12:02:00,Thur,21.1,City Centre,"angbutter, plain bread, croissant, pandoro","[2.0, 1.0, 1.0, 1.0]",Completed,"37.89004769571586, 127.84452146384001",4
2023-08-01 12:15:00,Thur,20.6,City Centre,"angbutter, tiramisu croissant, orange pound","[2.0, 1.0, 1.0]",Completed,"37.88848315111133, 127.84418867043505",5
2023-08-01 12:24:00,Thur,32.6,City Centre,"angbutter, plain bread, croissant, tiramisu croissant, pain au chocolat, gateau chocolat","[1.0, 2.0, 2.0, 1.0, 1.0, 1.0]",Completed,"37.889198396688975, 127.84375678883998",4
2023-08-01 12:38:00,Thur,14.5,City Centre,"plain bread, milk tea, pandoro","[1.0, 1.0, 1.0]",Completed,"37.88811385334455, 127.84362853116203",3
2023-08-01 13:37:00,Thur,15.1,City Centre,"angbutter, croissant","[2.0, 1.0]",Completed,"37.888378405353905, 127.84466501734931",4
2023-08-01 13:39:00,Thur,15.0,City Centre,"plain bread, jam, pain au chocolat, milk tea","[1.0, 1.0, 1.0, 1.0]",Completed,"37.889377123675736, 127.84530454000534",1
2023-08-01 14:17:00,Thur,14.8,City Centre,"angbutter, tiramisu croissant, pain au chocolat","[1.0, 1.0, 1.0]",Completed,"37.88825557083228, 127.84391580280139",2
2023-08-01 14:56:00,Thur,23.0,City Centre,"croissant, pain au chocolat","[4.0, 2.0]",Completed,"37.88959848050668, 127.84415502004501",1
2023-08-02 11:03:00,Fri,19.9,City Centre,"angbutter, pain au chocolat","[3.0, 1.0]",Completed,"37.888108406319446, 127.84504877203062",3
2023-08-02 11:04:00,Fri,14.1,City Centre,"angbutter, plain bread, gateau chocolat","[1.0, 1.0, 1.0]",Completed,"37.88964999005208, 127.84509971228843",1
2023-08-02 11:06:00,Fri,18.0,City Centre,"angbutter, tiramisu croissant, pandoro, orange pound, wiener","[3.0, 1.0, 1.0, 1.0, 1.0]",Completed,"37.88995076074997, 127.84504037874805",4
2023-08-02 11:19:00,Fri,16.4,City Centre,angbutter,[3.0],Completed,"37.889618082800645, 127.8443531807261",4
2023-08-02 11:31:00,Fri,17.3,City Centre,"angbutter, plain bread, wiener, berry ade","[1.0, 1.0, 1.0, 1.0]",Completed,"37.88898028389874, 127.84504230727221",3
2023-08-02 11:57:00,Fri,30.8,City Centre,angbutter,[6.0],Completed,"37.88945092560486, 127.84555885761345",1
2023-08-02 12:21:00,Fri,15.8,City Centre,"angbutter, caffe latte, tiramisu croissant","[1.0, 1.0, 1.0]",Completed,"37.88936305993279, 127.84458904160189",3
2023-08-02 12:31:00,Fri,19.9,City Centre,"angbutter, gateau chocolat, orange pound","[2.0, 1.0, 1.0]",Completed,"37.889808938079376, 127.84464442175619",2
2023-08-02 12:51:00,Fri,15.8,City Centre,"angbutter, plain bread, tiramisu croissant","[1.0, 1.0, 1.0]",Completed,"37.88942602061805, 127.84555474098839",4
2023-08-03 11:02:00,Sat,26.0,City Centre,angbutter,[5.0],Completed,"37.88874972452244, 127.84459577828827",3
2023-08-03 11:03:00,Sat,26.1,City Centre,"angbutter, plain bread, pain au chocolat, wiener","[2.0, 1.0, 1.0, 3.0]",Completed,"37.889009606417304, 127.84429805555197",3
2023-08-03 11:03:00,Sat,16.0,City Centre,"croissant, pain au chocolat","[2.0, 2.0]",Completed,"37.88984080851252, 127.8445365052716",5
