datetime,day of week,total,place,product_names,quantities_product,Order status,location
2023-07-19 13:50:00,Fri,15100.0,Dongmyeon,"['angbutter', 'pain au chocolat']","[2.0, 1.0]",Completed,"(37.57485695122676, 126.98609262153337)"
2023-07-19 14:12:00,Fri,58000.0,Dongmyeon,['croissant'],[16.0],Completed,"(37.57299950990111, 126.97866063219463)"
2023-07-19 15:33:00,Fri,35900.0,Dongmyeon,"['angbutter', 'croissant', 'tiramisu croissant']","[3.0, 3.0, 2.0]",Completed,"(37.567849597458085, 126.98058328354944)"
2023-07-20 11:19:00,Sat,15800.0,Dongmyeon,"['angbutter', 'milk tea', 'orange pound']","[1.0, 1.0, 1.0]",Completed,"(37.5703117888991, 126.97259266801608)"
2023-07-20 11:35:00,Sat,18800.0,Dongmyeon,"['angbutter', 'americano', 'croissant', 'caffe latte']","[1.0, 1.0, 1.0, 1.0]",Completed,"(37.5586687117446, 126.97528378352469)"
2023-07-20 11:40:00,Sat,22800.0,Dongmyeon,"['angbutter', 'jam', 'tiramisu croissant', 'pain au chocolat', 'gateau chocolat', 'tiramisu']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Completed,"(37.56716125045812, 126.97914083393533)"
2023-07-20 11:44:00,Sat,16400.0,Dongmyeon,['angbutter'],[3.0],Completed,"(37.56560898064656, 126.98040896100908)"
2023-07-20 12:08:00,Sat,15800.0,Dongmyeon,"['angbutter', 'pandoro', 'tiramisu']","[1.0, 1.0, 1.0]",Completed,"(37.56588072194272, 126.97516250319582)"
2023-07-20 12:13:00,Sat,26300.0,Dongmyeon,"['angbutter', 'caffe latte', 'pain au chocolat', 'orange pound', 'wiener', 'tiramisu']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Completed,"(37.576108242056236, 126.98265733906011)"
2023-07-20 12:31:00,Sat,14800.0,Dongmyeon,"['angbutter', 'caffe latte', 'pain au chocolat']","[1.0, 1.0, 1.0]",Completed,"(37.57241086995961, 126.97963630562514)"
2023-07-20 12:55:00,Sat,15800.0,Dongmyeon,"['angbutter', 'tiramisu croissant', 'orange pound']","[1.0, 1.0, 1.0]",Completed,"(37.57135453484587, 126.97730735597867)"
2023-07-20 13:19:00,Sat,20500.0,Dongmyeon,"['croissant', 'tiramisu croissant', 'pain au chocolat']","[2.0, 1.0, 2.0]",Completed,"(37.56412979794863, 126.98145085823589)"
2023-07-20 13:44:00,Sat,18600.0,Dongmyeon,"['angbutter', 'croissant', 'pain au chocolat']","[2.0, 1.0, 1.0]",Completed,"(37.5593138401749, 126.98482763102211)"
2023-07-20 13:56:00,Sat,17800.0,Dongmyeon,"['angbutter', 'americano', 'croissant', 'pain au chocolat']","[1.0, 1.0, 1.0, 1.0]",Completed,"(37.56599412157243, 126.98715101852247)"
2023-07-21 11:07:00,Sun,18600.0,Dongmyeon,"['angbutter', 'croissant', 'gateau chocolat', 'tiramisu']","[1.0, 1.0, 1.0, 1.0]",Completed,"(37.57328972812448, 126.97682462883095)"
2023-07-21 11:42:00,Sun,17300.0,Dongmyeon,"['angbutter', 'plain bread', 'croissant', 'pain au chocolat']","[1.0, 1.0, 1.0, 1.0]",Completed,"(37.5715085261468, 126.97472175641049)"
2023-07-21 12:12:00,Sun,17800.0,Dongmyeon,"['angbutter', 'americano', 'orange pound', 'wiener']","[1.0, 1.0, 1.0, 1.0]",Completed,"(37.55934403570198, 126.97203276110776)"
2023-07-21 12:25:00,Sun,14800.0,Dongmyeon,"['angbutter', 'caffe latte', 'pain au chocolat']","[1.0, 1.0, 1.0]",Completed,"(37.564994536750426, 126.97436322841041)"
2023-07-21 12:29:00,Sun,16100.0,Dongmyeon,"['angbutter', 'orange pound']","[2.0, 1.0]",Completed,"(37.561189837821495, 126.97062556921779)"
2023-07-21 12:47:00,Sun,21000.0,Dongmyeon,"['plain bread', 'croissant', 'tiramisu croissant', 'pain au chocolat', 'orange pound']","[1.0, 1.0, 1.0, 1.0, 1.0]",Completed,"(37.563299378004, 126.97301313731758)"
2023-07-21 13:37:00,Sun,19300.0,Dongmyeon,"['angbutter', 'croissant', 'milk tea']","[1.0, 1.0, 2.0]",Completed,"(37.570793468269336, 126.97628101114294)"
2023-07-21 13:45:00,Sun,22300.0,Dongmyeon,"['angbutter', 'americano', 'croissant', 'tiramisu croissant']","[1.0, 2.0, 1.0, 1.0]",Completed,"(37.569287433470926, 126.98534971025738)"
2023-07-21 14:05:00,Sun,18300.0,Dongmyeon,"['angbutter', 'plain bread', 'croissant', 'vanilla latte']","[1.0, 1.0, 1.0, 1.0]",Completed,"(37.561115734318776, 126.97586613801158)"
2023-07-21 14:53:00,Sun,15300.0,Dongmyeon,"['angbutter', 'plain bread', 'jam', 'croissant']","[1.0, 1.0, 1.0, 1.0]",Completed,"(37.55798216355168, 126.96884065798174)"
2023-07-21 15:21:00,Sun,15100.0,Dongmyeon,"['angbutter', 'almond croissant', 'gateau chocolat']","[1.0, 1.0, 1.0]",Completed,"(37.56547735444198, 126.98329765204561)"
2023-07-22 11:38:00,Mon,15600.0,Dongmyeon,"['angbutter', 'americano']","[2.0, 1.0]",Completed,"(37.567285456679016, 126.97808714785033)"
2023-07-22 12:16:00,Mon,19300.0,Dongmyeon,"['angbutter', 'croissant', 'milk tea', 'orange pound']","[1.0, 1.0, 1.0, 1.0]",Completed,"(37.56777294475826, 126.96958671935575)"
2023-07-22 12:24:00,Mon,18300.0,Dongmyeon,"['angbutter', 'croissant', 'pain au chocolat', 'orange pound']","[1.0, 1.0, 1.0, 1.0]",Completed,"(37.57171851844339, 126.97957722240606)"
2023-07-22 12:41:00,Mon,18300.0,Dongmyeon,"['angbutter', 'croissant', 'tiramisu croissant']","[1.0, 2.0, 1.0]",Completed,"(37.57172326609829, 126.98649416402777)"
2023-07-22 13:28:00,Mon,16600.0,Dongmyeon,"['angbutter', 'pain au chocolat']","[2.0, 2.0]",Completed,"(37.575470456508405, 126.98150377257961)"
2023-07-22 13:44:00,Mon,14800.0,Dongmyeon,"['angbutter', 'pain au chocolat', 'pandoro']","[1.0, 1.0, 1.0]",Completed,"(37.55753657579134, 126.98071859292331)"
2023-07-22 14:47:00,Mon,26000.0,Dongmyeon,['angbutter'],[5.0],Completed,"(37.572293189226976, 126.96884250034222)"
2023-07-22 15:37:00,Mon,19600.0,Dongmyeon,"['angbutter', 'caffe latte', 'tiramisu croissant', 'gateau chocolat']","[1.0, 1.0, 1.0, 1.0]",Completed,"(37.57394221768033, 126.97882030218327)"
2023-07-22 16:54:00,Mon,18600.0,Dongmyeon,"['angbutter', 'croissant', 'gateau chocolat', 'berry ade']","[1.0, 1.0, 1.0, 1.0]",Completed,"(37.56432853310468, 126.98714071022893)"
2023-07-24 11:29:00,Wed,16400.0,Dongmyeon,['angbutter'],[3.0],Completed,"(37.56637179868578, 126.9868272371526)"
2023-07-24 11:56:00,Wed,27100.0,Dongmyeon,"['angbutter', 'plain bread', 'tiramisu croissant', 'orange pound']","[2.0, 2.0, 1.0, 1.0]",Completed,"(37.57412674090097, 126.96960247395404)"
2023-07-24 13:24:00,Wed,18800.0,Dongmyeon,"['angbutter', 'plain bread', 'americano', 'croissant']","[1.0, 1.0, 1.0, 1.0]",Completed,"(37.5763627508297, 126.97099878969148)"
2023-07-24 14:25:00,Wed,25400.0,Dongmyeon,"['angbutter', 'milk tea']","[3.0, 2.0]",Completed,"(37.55838371659212, 126.98015607346206)"
2023-07-24 14:28:00,Wed,26300.0,Dongmyeon,"['angbutter', 'plain bread', 'americano', 'tiramisu croissant', 'vanilla latte']","[1.0, 2.0, 1.0, 1.0, 1.0]",Completed,"(37.56252178685916, 126.98252034547168)"
2023-07-24 15:36:00,Wed,16100.0,Dongmyeon,"['angbutter', 'almond croissant']","[2.0, 1.0]",Completed,"(37.56332755082843, 126.97203017055813)"
2023-07-24 15:40:00,Wed,16100.0,Dongmyeon,"['angbutter', 'tiramisu croissant']","[2.0, 1.0]",Completed,"(37.5736705766359, 126.97978086935578)"
2023-07-24 16:02:00,Wed,16400.0,Dongmyeon,['angbutter'],[3.0],Completed,"(37.5753170751456, 126.96833273709935)"
2023-07-24 17:20:00,Wed,15000.0,Dongmyeon,"['pain au chocolat', 'almond croissant', 'wiener']","[1.0, 1.0, 2.0]",Completed,"(37.56305133161345, 126.9723823278563)"
2023-07-25 11:49:00,Thur,18600.0,Dongmyeon,"['angbutter', 'tiramisu croissant', 'pain au chocolat', 'gateau chocolat']","[1.0, 1.0, 1.0, 1.0]",Completed,"(37.572189440842465, 126.97921099546026)"
2023-07-25 11:57:00,Thur,26800.0,Dongmyeon,"['angbutter', 'plain bread', 'americano', 'croissant', 'caffe latte', 'vanilla latte']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Completed,"(37.5731773292094, 126.97047995884282)"
2023-07-25 12:01:00,Thur,35000.0,Dongmyeon,"['almond croissant', 'wiener']","[4.0, 6.0]",Completed,"(37.56170079160296, 126.98733559629667)"
2023-07-25 12:35:00,Thur,38000.0,Dongmyeon,"['angbutter', 'croissant', 'pain au chocolat', 'wiener']","[5.0, 1.0, 1.0, 2.0]",Completed,"(37.56541690370006, 126.9875972707166)"
2023-07-25 13:01:00,Thur,23100.0,Dongmyeon,"['angbutter', 'tiramisu croissant', 'pain au chocolat']","[2.0, 1.0, 1.0]",Completed,"(37.559807922997, 126.98455844267056)"
2023-07-25 13:05:00,Thur,17300.0,Dongmyeon,"['pain au chocolat', 'gateau chocolat', 'berry ade']","[2.0, 1.0, 1.0]",Completed,"(37.56692460870819, 126.97172357336174)"
2023-07-25 13:40:00,Thur,19600.0,Dongmyeon,"['angbutter', 'croissant', 'pandoro']","[2.0, 1.0, 1.0]",Completed,"(37.56737693487514, 126.98494373088162)"
2023-07-25 13:42:00,Thur,15300.0,Dongmyeon,"['angbutter', 'americano', 'pandoro']","[1.0, 1.0, 1.0]",Completed,"(37.562407159656914, 126.98580535422285)"
2023-07-25 14:12:00,Thur,16100.0,Dongmyeon,"['angbutter', 'pandoro']","[2.0, 1.0]",Completed,"(37.56318348270379, 126.98542925848257)"
2023-07-25 15:09:00,Thur,14300.0,Dongmyeon,"['angbutter', 'americano', 'croissant']","[1.0, 1.0, 1.0]",Completed,"(37.57644960716085, 126.97307437053072)"
2023-07-25 15:57:00,Thur,15100.0,Dongmyeon,"['angbutter', 'almond croissant', 'gateau chocolat']","[1.0, 1.0, 1.0]",Completed,"(37.571631328785216, 126.97792715220606)"
2023-07-25 16:03:00,Thur,20000.0,Dongmyeon,"['almond croissant', 'pandoro', 'orange pound', 'vanilla latte']","[1.0, 1.0, 1.0, 1.0]",Completed,"(37.561672402255, 126.96882809640877)"
2023-07-26 11:26:00,Fri,25300.0,Dongmyeon,"['angbutter', 'plain bread', 'croissant', 'orange pound']","[1.0, 1.0, 3.0, 1.0]",Completed,"(37.56632168732159, 126.98445809548984)"
2023-07-26 11:23:00,Fri,73200.0,Dongmyeon,"['angbutter', 'plain bread', 'croissant', 'tiramisu croissant', 'pain au chocolat', 'pandoro', 'orange pound']","[4.0, 3.0, 6.0, 1.0, 2.0, 1.0, 1.0]",Completed,"(37.573232769023846, 126.97172562511403)"
2023-07-26 11:31:00,Fri,22800.0,Dongmyeon,"['angbutter', 'tiramisu croissant', 'pandoro', 'orange pound', 'wiener']","[1.0, 1.0, 1.0, 1.0, 1.0]",Completed,"(37.55963450469526, 126.986258843388)"
2023-07-26 11:36:00,Fri,1293000.0,Dongmyeon,"['angbutter', 'plain bread', 'croissant', 'pain au chocolat', 'almond croissant', 'pandoro']","[6.0, 5.0, 5.0, 5.0, 5.0, 5.0]",Completed,"(37.564320507913074, 126.97397800292366)"
2023-07-26 11:37:00,Fri,15000.0,Dongmyeon,"['plain bread', 'jam', 'croissant', 'orange pound']","[1.0, 1.0, 1.0, 1.0]",Completed,"(37.56570330332708, 126.9715816027755)"
2023-07-26 11:55:00,Fri,20800.0,Dongmyeon,"['angbutter', 'tiramisu croissant', 'almond croissant', 'wiener']","[1.0, 1.0, 1.0, 2.0]",Completed,"(37.55778610109189, 126.97290267765986)"
2023-07-26 13:19:00,Fri,25900.0,Dongmyeon,"['angbutter', 'tiramisu croissant', 'wiener']","[3.0, 1.0, 2.0]",Completed,"(37.56158845402298, 126.98725875545024)"
2023-07-26 13:24:00,Fri,28100.0,Dongmyeon,"['angbutter', 'americano', 'pain au chocolat', 'lemon ade', 'orange pound']","[2.0, 1.0, 1.0, 1.0, 1.0]",Completed,"(37.56350177180016, 126.97720473015417)"
2023-07-26 14:05:00,Fri,15800.0,Dongmyeon,"['angbutter', 'milk tea', 'berry ade']","[1.0, 1.0, 1.0]",Completed,"(37.56439490213123, 126.97508713431897)"
2023-07-26 14:24:00,Fri,35000.0,Dongmyeon,"['angbutter', 'orange pound']","[5.0, 2.0]",Completed,"(37.57085485920246, 126.97133369923287)"
2023-07-26 14:52:00,Fri,22100.0,Dongmyeon,"['angbutter', 'almond croissant', 'gateau chocolat', 'lemon ade', 'wiener']","[1.0, 1.0, 1.0, 1.0, 1.0]",Completed,"(37.558666674865094, 126.98148225964665)"
2023-07-26 14:56:00,Fri,16100.0,Dongmyeon,"['angbutter', 'pandoro']","[2.0, 1.0]",Completed,"(37.56053330084982, 126.9815903142879)"
2023-07-27 11:29:00,Sat,18800.0,Dongmyeon,"['angbutter', 'plain bread', 'americano', 'tiramisu croissant']","[1.0, 1.0, 1.0, 1.0]",Completed,"(37.562719416930406, 126.98300658572958)"
2023-07-27 11:57:00,Sat,21800.0,Dongmyeon,"['angbutter', 'plain bread', 'croissant', 'pain au chocolat', 'pandoro']","[1.0, 1.0, 1.0, 1.0, 1.0]",Completed,"(37.558444466365245, 126.98149967587804)"
2023-07-27 12:00:00,Sat,18600.0,Dongmyeon,"['angbutter', 'croissant', 'gateau chocolat', 'vanilla latte']","[1.0, 1.0, 1.0, 1.0]",Completed,"(37.56175514505221, 126.97243981215358)"
2023-07-27 12:07:00,Sat,33200.0,Dongmyeon,"['angbutter', 'plain bread', 'pain au chocolat', 'gateau chocolat']","[2.0, 2.0, 2.0, 2.0]",Completed,"(37.558790255295186, 126.9720475237952)"
2023-07-27 12:20:00,Sat,22800.0,Dongmyeon,"['angbutter', 'croissant', 'pain au chocolat', 'lemon ade', 'tiramisu']","[1.0, 1.0, 1.0, 1.0, 1.0]",Completed,"(37.563525670723166, 126.97571333590629)"
2023-07-27 12:26:00,Sat,17000.0,Dongmyeon,"['angbutter', 'croissant']","[1.0, 3.0]",Completed,"(37.568697609788494, 126.96850828262247)"
2023-07-27 12:43:00,Sat,16400.0,Dongmyeon,"['angbutter', 'plain bread', 'pandoro']","[1.0, 1.0, 1.0]",Completed,"(37.564514092752056, 126.96846846953753)"
2023-07-27 13:50:00,Sat,14800.0,Dongmyeon,"['angbutter', 'plain bread', 'pandoro']","[1.0, 1.0, 1.0]",Completed,"(37.5567734975701, 126.97903173546648)"
2023-07-27 14:05:00,Sat,32600.0,Dongmyeon,"['angbutter', 'plain bread', 'jam', 'gateau chocolat', 'lemon ade', 'orange pound', 'wiener', 'vanilla latte']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Completed,"(37.55983692583388, 126.979392360434)"
2023-07-28 11:17:00,Sun,17300.0,Dongmyeon,"['angbutter', 'croissant', 'orange pound', 'wiener']","[1.0, 1.0, 1.0, 1.0]",Completed,"(37.558088886779665, 126.97956522822847)"
2023-07-28 12:10:00,Sun,14800.0,Dongmyeon,"['angbutter', 'plain bread', 'pandoro']","[1.0, 1.0, 1.0]",Completed,"(37.57451773763809, 126.98331810155817)"
2023-07-28 12:21:00,Sun,14800.0,Dongmyeon,"['angbutter', 'tiramisu croissant', 'pain au chocolat']","[1.0, 1.0, 1.0]",Completed,"(37.56435145054419, 126.97204694044788)"
2023-07-28 12:47:00,Sun,14300.0,Dongmyeon,"['angbutter', 'americano', 'pain au chocolat']","[1.0, 1.0, 1.0]",Completed,"(37.55881617007461, 126.97681231567722)"
2023-07-28 12:48:00,Sun,14800.0,Dongmyeon,"['angbutter', 'croissant', 'tiramisu croissant']","[1.0, 1.0, 1.0]",Completed,"(37.561935599632534, 126.97102260636971)"
2023-07-28 13:13:00,Sun,25600.0,Dongmyeon,"['angbutter', 'plain bread', 'croissant', 'wiener']","[2.0, 1.0, 2.0, 1.0]",Completed,"(37.56426623320172, 126.97003311605218)"
2023-07-28 13:14:00,Sun,19500.0,Dongmyeon,"['plain bread', 'jam', 'pain au chocolat', 'pandoro', 'berry ade']","[1.0, 1.0, 1.0, 1.0, 1.0]",Completed,"(37.572741364314155, 126.98219279684415)"
2023-07-29 11:08:00,Mon,24800.0,Dongmyeon,"['angbutter', 'croissant', 'wiener']","[1.0, 3.0, 3.0]",Completed,"(37.56299714888959, 126.97594021482949)"
2023-07-29 11:12:00,Mon,24100.0,Dongmyeon,"['angbutter', 'croissant', 'tiramisu croissant', 'orange pound']","[2.0, 1.0, 1.0, 1.0]",Completed,"(37.56666402627359, 126.97722710908343)"
2023-07-28 11:14:00,Mon,15800.0,Dongmyeon,"['angbutter', 'tiramisu croissant', 'pandoro']","[1.0, 1.0, 1.0]",Completed,"(37.56781404962361, 126.9810445165846)"
2023-07-29 11:39:00,Mon,14800.0,Dongmyeon,"['angbutter', 'pain au chocolat', 'pandoro']","[1.0, 1.0, 1.0]",Completed,"(37.566332390350304, 126.9724624061881)"
2023-07-29 12:02:00,Mon,14800.0,Dongmyeon,"['angbutter', 'pain au chocolat', 'orange pound']","[1.0, 1.0, 1.0]",Completed,"(37.563775852788105, 126.97146258817598)"
2023-07-29 12:15:00,Mon,18300.0,Dongmyeon,"['angbutter', 'croissant', 'pain au chocolat', 'orange pound']","[1.0, 1.0, 1.0, 1.0]",Completed,"(37.56855626418367, 126.9848818316123)"
2023-07-29 12:22:00,Mon,27900.0,Dongmyeon,"['angbutter', 'plain bread', 'pain au chocolat', 'orange pound']","[3.0, 1.0, 1.0, 1.0]",Completed,"(37.5707524252092, 126.97480713361563)"
2023-07-29 12:54:00,Mon,15800.0,Dongmyeon,"['angbutter', 'almond croissant', 'orange pound']","[1.0, 1.0, 1.0]",Completed,"(37.56328552728935, 126.9783656728187)"
2023-07-29 13:25:00,Mon,18100.0,Dongmyeon,"['angbutter', 'americano', 'croissant', 'gateau chocolat']","[1.0, 1.0, 1.0, 1.0]",Completed,"(37.57183246387985, 126.9802306747233)"
2023-07-29 13:36:00,Mon,28000.0,Dongmyeon,"['croissant', 'almond croissant', 'milk tea', 'pandoro', 'vanilla latte']","[1.0, 1.0, 1.0, 1.0, 1.0]",Completed,"(37.56409216247164, 126.96866922616535)"
2023-07-29 13:53:00,Mon,28000.0,Dongmyeon,"['americano', 'tiramisu croissant', 'almond croissant', 'pandoro', 'vanilla latte']","[2.0, 1.0, 1.0, 1.0, 1.0]",Completed,"(37.562952261865625, 126.98714787136682)"
2023-07-31 11:09:00,Wed,15600.0,Dongmyeon,"['angbutter', 'americano']","[2.0, 1.0]",Completed,"(37.55698815694264, 126.9768059927193)"
2023-07-31 11:25:00,Wed,30100.0,Dongmyeon,"['angbutter', 'plain bread', 'croissant', 'pain au chocolat', 'pandoro']","[2.0, 1.0, 2.0, 1.0, 1.0]",Completed,"(37.5635869683473, 126.96941428284218)"
2023-07-31 11:38:00,Wed,23300.0,Dongmyeon,"['angbutter', 'plain bread', 'jam', 'croissant', 'pain au chocolat', 'almond croissant']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",Completed,"(37.57418814442616, 126.97102251020996)"
2023-07-31 11:44:00,Wed,30200.0,Dongmyeon,"['angbutter', 'americano', 'pain au chocolat', 'gateau chocolat']","[2.0, 1.0, 2.0, 2.0]",Completed,"(37.57581052020432, 126.96824673833115)"
2023-07-31 12:48:00,Wed,15100.0,Dongmyeon,"['angbutter', 'plain bread']","[2.0, 1.0]",Completed,"(37.56592472685936, 126.97529301821227)"
2023-07-31 13:18:00,Wed,27300.0,Dongmyeon,"['angbutter', 'plain bread', 'americano', 'pandoro', 'vanilla latte']","[1.0, 1.0, 2.0, 1.0, 1.0]",Completed,"(37.5601503244957, 126.96824109016552)"
2023-07-31 13:19:00,Wed,15300.0,Dongmyeon,"['angbutter', 'americano', 'tiramisu croissant']","[1.0, 1.0, 1.0]",Completed,"(37.57227640652866, 126.98675853053278)"
2023-07-31 13:29:00,Wed,16100.0,Dongmyeon,"['angbutter', 'gateau chocolat', 'pandoro']","[1.0, 1.0, 1.0]",Completed,"(37.56339445207611, 126.97706716528211)"
2023-07-31 13:54:00,Wed,15100.0,Dongmyeon,"['angbutter', 'milk tea', 'gateau chocolat']","[1.0, 1.0, 1.0]",Completed,"(37.561362739527645, 126.97804303066313)"
2023-07-31 13:58:00,Wed,15800.0,Dongmyeon,"['angbutter', 'tiramisu croissant', 'pandoro']","[1.0, 1.0, 1.0]",Completed,"(37.5645743902925, 126.98122504486872)"
2023-08-01 11:03:00,Thur,14500.0,Dongmyeon,"['tiramisu croissant', 'pain au chocolat', 'pandoro']","[1.0, 1.0, 1.0]",Completed,"(37.561258771748484, 126.98011094347945)"
2023-08-01 11:17:00,Thur,13100.0,Dongmyeon,"['angbutter', 'pain au chocolat']","[2.0, 1.0]",Completed,"(37.57154974600165, 126.9706676727798)"
2023-08-01 11:25:00,Thur,16100.0,Dongmyeon,"['angbutter', 'pandoro']","[2.0, 1.0]",Completed,"(37.559382109376884, 126.97068522940722)"
2023-08-01 11:50:00,Thur,14800.0,Dongmyeon,"['angbutter', 'croissant', 'orange pound']","[1.0, 1.0, 1.0]",Completed,"(37.56605659583755, 126.97905797643388)"
